Epoch | Train Loss | Train R² | Val Loss | Val R²
Epoch 001 | Train Loss: 6.4229e+01 | R²: -23.7261 | Val Loss: 5.7519e+00 | R²: -1.1358
Epoch 002 | Train Loss: 2.8621e+00 | R²: -0.1018 | Val Loss: 2.5948e+00 | R²: 0.0365
Epoch 003 | Train Loss: 2.3869e+00 | R²: 0.0811 | Val Loss: 2.4458e+00 | R²: 0.0918
Epoch 004 | Train Loss: 2.2537e+00 | R²: 0.1324 | Val Loss: 2.3705e+00 | R²: 0.1198
Epoch 005 | Train Loss: 2.1772e+00 | R²: 0.1618 | Val Loss: 2.3085e+00 | R²: 0.1428
Epoch 006 | Train Loss: 2.1079e+00 | R²: 0.1885 | Val Loss: 2.2353e+00 | R²: 0.1700
Epoch 007 | Train Loss: 2.0339e+00 | R²: 0.2170 | Val Loss: 2.2312e+00 | R²: 0.1715
Epoch 008 | Train Loss: 1.9641e+00 | R²: 0.2439 | Val Loss: 2.1114e+00 | R²: 0.2160
Epoch 009 | Train Loss: 1.8386e+00 | R²: 0.2922 | Val Loss: 1.8992e+00 | R²: 0.2948
Epoch 010 | Train Loss: 1.6838e+00 | R²: 0.3518 | Val Loss: 1.7126e+00 | R²: 0.3641
Epoch 011 | Train Loss: 1.4939e+00 | R²: 0.4249 | Val Loss: 1.5031e+00 | R²: 0.4418
Epoch 012 | Train Loss: 1.3587e+00 | R²: 0.4769 | Val Loss: 1.4347e+00 | R²: 0.4673
Epoch 013 | Train Loss: 1.2538e+00 | R²: 0.5173 | Val Loss: 1.2823e+00 | R²: 0.5239
Epoch 014 | Train Loss: 1.1725e+00 | R²: 0.5486 | Val Loss: 1.2552e+00 | R²: 0.5339
Epoch 015 | Train Loss: 1.1460e+00 | R²: 0.5588 | Val Loss: 1.2338e+00 | R²: 0.5419
Epoch 016 | Train Loss: 1.1262e+00 | R²: 0.5664 | Val Loss: 1.2766e+00 | R²: 0.5260
Epoch 017 | Train Loss: 1.1148e+00 | R²: 0.5708 | Val Loss: 1.2113e+00 | R²: 0.5502
Epoch 018 | Train Loss: 1.1186e+00 | R²: 0.5694 | Val Loss: 1.2018e+00 | R²: 0.5538
Epoch 019 | Train Loss: 1.0976e+00 | R²: 0.5775 | Val Loss: 1.3243e+00 | R²: 0.5082
Epoch 020 | Train Loss: 1.0826e+00 | R²: 0.5833 | Val Loss: 1.1910e+00 | R²: 0.5577
Epoch 021 | Train Loss: 1.1004e+00 | R²: 0.5764 | Val Loss: 1.2337e+00 | R²: 0.5419
Epoch 022 | Train Loss: 1.0806e+00 | R²: 0.5840 | Val Loss: 1.1696e+00 | R²: 0.5657
Epoch 023 | Train Loss: 1.0671e+00 | R²: 0.5892 | Val Loss: 1.1879e+00 | R²: 0.5589
Epoch 024 | Train Loss: 1.0924e+00 | R²: 0.5795 | Val Loss: 1.1610e+00 | R²: 0.5689
Epoch 025 | Train Loss: 1.0602e+00 | R²: 0.5919 | Val Loss: 1.1455e+00 | R²: 0.5746
Epoch 026 | Train Loss: 1.0513e+00 | R²: 0.5953 | Val Loss: 1.1253e+00 | R²: 0.5822
Epoch 027 | Train Loss: 1.0293e+00 | R²: 0.6038 | Val Loss: 1.1824e+00 | R²: 0.5609
Epoch 028 | Train Loss: 1.0254e+00 | R²: 0.6052 | Val Loss: 1.1222e+00 | R²: 0.5833
